taxa,VV23-VV05-PCR-34O2,VV23-VV05-PCR-210B,VV23-VV05-PCR-074L,VV23-VV05-PCR-3I1M,VV23-VV05-PCR-2VM0,VV23-VV05-PCR-211J,VV23-VV05-PCR-342D,VV23-VV05-PCR-QL5D,VV23-VV05-PCR-C54B,VV23-VV05-PCR-7BHU,VV23-VV05-PCR-4I83,VV23-VV05-PCR-QWXO,VV23-VV05-PCR-7WHX,VV23-VV05-PCR-OY07,VV23-VV05-PCR-T4EH,VV23-VV05-PCR-21XI,VV23-VV05-PCR-8MYI,VV23-VV05-PCR-R4PD,VV23-VV05-PCR-1IQ8,VV23-VV05-PCR-4C0W,VV23-VV05-PCR-E5MI,VV23-VV05-PCR-AXRM,VV23-VV05-PCR-11F2,VV23-VV05-PCR-SKT0,VV23-VV05-PCR-M36D,VV23-VV05-PCR-XK1P,VV23-VV05-PCR-FG28,VV23-VV05-PCR-V655,VV23-VV05-PCR-3XWI,VV23-VV05-PCR-7405,VV23-VV05-PCR-K2X5,VV23-VV05-PCR-6B6C
L_crispatus,0.0,0.0,0.0,0.3770228845434337,0.0151790993354313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4664282255862275,0.0629144840495539,0.0,0.0,0.0001994069066247,0.0,0.0,0.0,0.0001082834965873,0.0,0.0,0.0,0.0,3.5050173103083973e-06,0.0,0.7736816704514327,0.0,0.5960242769091632,0.0,0.0
L_gasseri,0.0,0.0,0.0,0.0017462901485263,0.0,0.0,0.0,0.0,0.0,0.0,2.6563982890162976e-05,0.0,0.0064718639705046,0.0067832011938941,0.0,0.0,0.0,0.0,0.0,1.4714632124850865e-05,0.0,0.371164336447178,0.0,0.0,0.0035749778040451,0.0,0.0,0.0,0.0,1.1771054504395207e-06,0.0,2.3723329044640337e-05
L_iners,0.0,0.0,0.0,0.3694535765599799,0.0,4.333980220728845e-06,0.0360852234851197,0.0,0.0022798426952723,0.0,0.5016997067704858,0.0,0.1941944668513064,0.3740808452699036,0.284541305108749,0.0,0.0008956917882564,4.437356529525164e-05,0.0,0.0,0.0,0.0,0.0033644793925562,0.0,0.0,6.400127159774632e-06,0.0,0.0002320822809085,0.0,0.2021653985196035,0.506493619480771,0.1870077545596685
L_jensenii,0.0,0.0,0.0,0.0285890204547704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379120088154734,0.0,0.0,0.0,0.0,0.0,1.0721520162789656e-05,0.0,0.0,0.0,0.5122336728436783,0.0,0.0,0.0,0.0,0.0079594309166958,0.0,0.0
G_vaginalis,0.0020663924604187,0.0028016025162997,6.561062546846973e-05,0.006616807390923,0.8473976306499441,0.0006349079221893,0.0075748025597924,0.0067135008885116,0.1720104357535079,0.0024569291995329,0.0001405041145812,0.0032732216164298,0.0003326012013325,0.0004582679463255,0.0003975880455848,0.0048864992989278,0.0076975604108643,0.0015722866712098,0.0002329671242333,0.0024932564539193,0.0001881056756596,4.652642941703542e-05,0.155036305273668,0.0028079053094066,0.2462729364009144,0.4825415237873299,0.0006053486831063,0.0002143660412315,0.0002005406049613,0.001484735851346,0.0048203145231308,0.2035904790248958
F_vaginae,0.0004244311019376,0.0023791764705095,0.0001124424177022,3.878472236728048e-05,0.0002280677378708,0.021108501864123,0.1272496858730989,0.0002596404892024,0.1253548742877114,0.0004169560666825,0.0006986579828786,0.0006477927759324,0.0003664192706973,4.741378196731109e-05,7.723985598899988e-05,0.0014749901136934,0.0004343672642188,8.13887547047288e-05,0.8392502693175197,0.000111089339651,1.2984527125277218e-05,5.156733448015836e-05,0.7323006593858175,0.0009181006861096,0.1401720876101997,0.507926623005711,3.145487163065416e-05,0.0,0.0050524154875989,5.253200554710755e-07,0.0017131236482231,0.5858572152996961
BVAB-1,0.0,0.0,0.0,0.0,0.0,0.0235773600589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
