taxa,VV23-VV05-PCR-34O2,VV23-VV05-PCR-210B,VV23-VV05-PCR-074L,VV23-VV05-PCR-3I1M,VV23-VV05-PCR-2VM0,VV23-VV05-PCR-211J,VV23-VV05-PCR-342D,VV23-VV05-PCR-QL5D,VV23-VV05-PCR-C54B,VV23-VV05-PCR-7BHU,VV23-VV05-PCR-4I83,VV23-VV05-PCR-QWXO,VV23-VV05-PCR-7WHX,VV23-VV05-PCR-OY07,VV23-VV05-PCR-T4EH,VV23-VV05-PCR-21XI,VV23-VV05-PCR-8MYI,VV23-VV05-PCR-R4PD,VV23-VV05-PCR-1IQ8,VV23-VV05-PCR-4C0W,VV23-VV05-PCR-E5MI,VV23-VV05-PCR-AXRM,VV23-VV05-PCR-11F2,VV23-VV05-PCR-SKT0,VV23-VV05-PCR-M36D,VV23-VV05-PCR-XK1P,VV23-VV05-PCR-FG28,VV23-VV05-PCR-V655,VV23-VV05-PCR-3XWI,VV23-VV05-PCR-7405,VV23-VV05-PCR-K2X5,VV23-VV05-PCR-6B6C
L_crispatus,5.84e-06,5.12e-06,2.9e-08,0.377022885,0.015179099,9.79e-08,2.32e-08,8.5e-06,1.87e-07,3.4e-06,1.69e-07,4.83e-06,0.466428226,0.062914484,1.17e-06,8.6e-07,0.000199407,1.63e-06,1.64e-07,1.95e-06,0.000108283,3.59e-07,1.13e-07,8.95e-06,3.12e-06,3.51e-06,8.04e-06,0.77368167,2.37e-05,0.596024277,8.54e-08,4.33e-07
L_gasseri,5.84e-06,5.12e-06,2.9e-08,0.00174629,2.09e-06,9.79e-08,2.32e-08,8.5e-06,1.87e-07,3.4e-06,2.66e-05,4.83e-06,0.006471864,0.006783201,1.17e-06,8.6e-07,8.6e-06,1.63e-06,1.64e-07,1.47e-05,2.18e-06,0.371164336,1.13e-07,8.95e-06,0.003574978,1.28e-07,8.04e-06,4.14e-06,2.37e-05,1.18e-06,8.54e-08,2.37e-05
L_iners,0.000855122,0.000128592,4.96e-07,0.369453577,0.000127049,4.33e-06,0.036085223,0.000478923,0.002279843,0.000179594,0.501699707,0.000164959,0.194194467,0.374080845,0.284541305,2.72e-05,0.000895692,4.44e-05,1.35e-05,4.56e-05,5.74e-05,3.41e-05,0.003364479,0.000434681,0.000131158,6.4e-06,0.000231205,0.000232082,0.00038342,0.202165399,0.506493619,0.187007755
L_jensenii,5.84e-06,5.12e-06,2.9e-08,0.02858902,2.09e-06,9.79e-08,2.32e-08,8.5e-06,1.87e-07,3.4e-06,1.69e-07,4.83e-06,6.53e-07,4.49e-07,0.237912009,8.6e-07,8.6e-06,1.63e-06,1.64e-07,1.95e-06,1.07e-05,3.59e-07,1.13e-07,8.95e-06,0.512233673,1.28e-07,8.04e-06,4.14e-06,2.37e-05,0.007959431,8.54e-08,4.33e-07
G_vaginalis,0.002066392,0.002801603,6.56e-05,0.006616807,0.847397631,0.000634908,0.007574803,0.006713501,0.172010436,0.002456929,0.000140504,0.003273222,0.000332601,0.000458268,0.000397588,0.004886499,0.00769756,0.001572287,0.000232967,0.002493256,0.000188106,4.65e-05,0.155036305,0.002807905,0.246272936,0.482541524,0.000605349,0.000214366,0.000200541,0.001484736,0.004820315,0.203590479
F_vaginae,0.000424431,0.002379176,0.000112442,3.88e-05,0.000228068,0.021108502,0.127249686,0.00025964,0.125354874,0.000416956,0.000698658,0.000647793,0.000366419,4.74e-05,7.72e-05,0.00147499,0.000434367,8.14e-05,0.839250269,0.000111089,1.3e-05,5.16e-05,0.732300659,0.000918101,0.140172088,0.507926623,3.15e-05,4.14e-06,0.005052415,5.25e-07,0.001713124,0.585857215
BVAB-1,7.76e-05,5.12e-06,2.9e-08,5.47e-07,2.09e-06,0.02357736,2.32e-08,8.5e-06,1.87e-07,3.4e-06,1.69e-07,4.83e-06,6.53e-07,4.49e-07,1.17e-06,8.6e-07,8.6e-06,1.63e-06,1.64e-07,1.95e-06,2.18e-06,3.59e-07,1.13e-07,8.95e-06,3.12e-06,1.28e-07,8.04e-06,4.14e-06,2.37e-05,7.75e-08,8.54e-08,4.33e-07
